1968 Household Travel Survey,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"HOME TO WORK AND WORK TO HOME TRIPS, ALL DAY",,,,,,PROPORTIONS,,,,,CUMULATIVE,,,,,,EQUATION,,,,,EQUATION: BALANCED,,,
12.5,9036,2903,754,130,,=B104/B$120,=C104/C$120,=D104/D$120,=E104/E$120,,=G104+L103,=H104+M103,=I104+N103,=J104+O103,,,=EXP(2.44-0.0007*$A104*$A104)/100,=EXP(2.3-0.0005*$A104*$A104)/100,=EXP(2.14-0.0003*$A104*$A104)/100,=EXP(5.15-0.92*(LN($A104+0)))/100,,=R104/R$120,=S104/S$120,=T104/T$120,=U104/U$120
17.5,5144,2498,754,34,,=B105/B$120,=C105/C$120,=D105/D$120,=E105/E$120,,=G105+L104,=H105+M104,=I105+N104,=J105+O104,,,=EXP(2.44-0.0007*$A105*$A105)/100,=EXP(2.3-0.0005*$A105*$A105)/100,=EXP(2.14-0.0003*$A105*$A105)/100,=EXP(5.15-0.92*(LN($A105+0)))/100,,=R105/R$120,=S105/S$120,=T105/T$120,=U105/U$120
22.5,2844,1650,1973,41,,=B106/B$120,=C106/C$120,=D106/D$120,=E106/E$120,,=G106+L105,=H106+M105,=I106+N105,=J106+O105,,,=EXP(2.44-0.0007*$A106*$A106)/100,=EXP(2.3-0.0005*$A106*$A106)/100,=EXP(2.14-0.0003*$A106*$A106)/100,=EXP(5.15-0.92*(LN($A106+0)))/100,,=R106/R$120,=S106/S$120,=T106/T$120,=U106/U$120
27.5,10395,3661,352,35,,=B107/B$120,=C107/C$120,=D107/D$120,=E107/E$120,,=G107+L106,=H107+M106,=I107+N106,=J107+O106,,,=EXP(2.44-0.0007*$A107*$A107)/100,=EXP(2.3-0.0005*$A107*$A107)/100,=EXP(2.14-0.0003*$A107*$A107)/100,=EXP(5.15-0.92*(LN($A107+0)))/100,,=R107/R$120,=S107/S$120,=T107/T$120,=U107/U$120
32.5,1625,1040,540,0,,=B108/B$120,=C108/C$120,=D108/D$120,=E108/E$120,,=G108+L107,=H108+M107,=I108+N107,=J108+O107,,,=EXP(2.44-0.0007*$A108*$A108)/100,=EXP(2.3-0.0005*$A108*$A108)/100,=EXP(2.14-0.0003*$A108*$A108)/100,=EXP(5.15-0.92*(LN($A108+0)))/100,,=R108/R$120,=S108/S$120,=T108/T$120,=U108/U$120
37.5,1574,832,811,0,,=B109/B$120,=C109/C$120,=D109/D$120,=E109/E$120,,=G109+L108,=H109+M108,=I109+N108,=J109+O108,,,=EXP(2.44-0.0007*$A109*$A109)/100,=EXP(2.3-0.0005*$A109*$A109)/100,=EXP(2.14-0.0003*$A109*$A109)/100,=EXP(5.15-0.92*(LN($A109+0)))/100,,=R109/R$120,=S109/S$120,=T109/T$120,=U109/U$120
42.5,3625,1763,296,0,,=B110/B$120,=C110/C$120,=D110/D$120,=E110/E$120,,=G110+L109,=H110+M109,=I110+N109,=J110+O109,,,=EXP(2.44-0.0007*$A110*$A110)/100,=EXP(2.3-0.0005*$A110*$A110)/100,=EXP(2.14-0.0003*$A110*$A110)/100,=EXP(5.15-0.92*(LN($A110+0)))/100,,=R110/R$120,=S110/S$120,=T110/T$120,=U110/U$120
47.5,741,378,143,0,,=B111/B$120,=C111/C$120,=D111/D$120,=E111/E$120,,=G111+L110,=H111+M110,=I111+N110,=J111+O110,,,=EXP(2.44-0.0007*$A111*$A111)/100,=EXP(2.3-0.0005*$A111*$A111)/100,=EXP(2.14-0.0003*$A111*$A111)/100,=EXP(5.15-0.92*(LN($A111+0)))/100,,=R111/R$120,=S111/S$120,=T111/T$120,=U111/U$120
52.5,369,393,856,0,,=B112/B$120,=C112/C$120,=D112/D$120,=E112/E$120,,=G112+L111,=H112+M111,=I112+N111,=J112+O111,,,=EXP(2.44-0.0007*$A112*$A112)/100,=EXP(2.3-0.0005*$A112*$A112)/100,=EXP(2.14-0.0003*$A112*$A112)/100,=EXP(5.15-0.92*(LN($A112+0)))/100,,=R112/R$120,=S112/S$120,=T112/T$120,=U112/U$120
57.5,1919,1144,31,0,,=B113/B$120,=C113/C$120,=D113/D$120,=E113/E$120,,=G113+L112,=H113+M112,=I113+N112,=J113+O112,,,=EXP(2.44-0.0007*$A113*$A113)/100,=EXP(2.3-0.0005*$A113*$A113)/100,=EXP(2.14-0.0003*$A113*$A113)/100,=EXP(5.15-0.92*(LN($A113+0)))/100,,=R113/R$120,=S113/S$120,=T113/T$120,=U113/U$120
62.5,210,148,88,0,,=B114/B$120,=C114/C$120,=D114/D$120,=E114/E$120,,=G114+L113,=H114+M113,=I114+N113,=J114+O113,,,=EXP(2.44-0.0007*$A114*$A114)/100,=EXP(2.3-0.0005*$A114*$A114)/100,=EXP(2.14-0.0003*$A114*$A114)/100,=EXP(5.15-0.92*(LN($A114+0)))/100,,=R114/R$120,=S114/S$120,=T114/T$120,=U114/U$120
67.5,205,195,182,0,,=B115/B$120,=C115/C$120,=D115/D$120,=E115/E$120,,=G115+L114,=H115+M114,=I115+N114,=J115+O114,,,=EXP(2.44-0.0007*$A115*$A115)/100,=EXP(2.3-0.0005*$A115*$A115)/100,=EXP(2.14-0.0003*$A115*$A115)/100,=EXP(5.15-0.92*(LN($A115+0)))/100,,=R115/R$120,=S115/S$120,=T115/T$120,=U115/U$120
72.5,352,219,98,0,,=B116/B$120,=C116/C$120,=D116/D$120,=E116/E$120,,=G116+L115,=H116+M115,=I116+N115,=J116+O115,,,=EXP(2.44-0.0007*$A116*$A116)/100,=EXP(2.3-0.0005*$A116*$A116)/100,=EXP(2.14-0.0003*$A116*$A116)/100,=EXP(5.15-0.92*(LN($A116+0)))/100,,=R116/R$120,=S116/S$120,=T116/T$120,=U116/U$120
77.5,106,39,100,0,,=B117/B$120,=C117/C$120,=D117/D$120,=E117/E$120,,=G117+L116,=H117+M116,=I117+N116,=J117+O116,,,=EXP(2.44-0.0007*$A117*$A117)/100,=EXP(2.3-0.0005*$A117*$A117)/100,=EXP(2.14-0.0003*$A117*$A117)/100,=EXP(5.15-0.92*(LN($A117+0)))/100,,=R117/R$120,=S117/S$120,=T117/T$120,=U117/U$120
82.5,0,151,250,0,,=B118/B$120,=C118/C$120,=D118/D$120,=E118/E$120,,=G118+L117,=H118+M117,=I118+N117,=J118+O117,,,=EXP(2.44-0.0007*$A118*$A118)/100,=EXP(2.3-0.0005*$A118*$A118)/100,=EXP(2.14-0.0003*$A118*$A118)/100,=EXP(5.15-0.92*(LN($A118+0)))/100,,=R118/R$120,=S118/S$120,=T118/T$120,=U118/U$120
87.5,0,75,35,0,,=B119/B$120,=C119/C$120,=D119/D$120,=E119/E$120,,=G119+L118,=H119+M118,=I119+N118,=J119+O118,,,=EXP(2.44-0.0007*$A119*$A119)/100,=EXP(2.3-0.0005*$A119*$A119)/100,=EXP(2.14-0.0003*$A119*$A119)/100,=EXP(5.15-0.92*(LN($A119+0)))/100,,=R119/R$120,=S119/S$120,=T119/T$120,=U119/U$120
92.5,=SUM(B101:B119),=SUM(C101:C119),=SUM(D101:D119),=SUM(E101:E119),,,,,,,,,,,,,=SUM(R101:R119),=SUM(S101:S119),=SUM(T101:T119),=SUM(U101:U119),,,,,
